File name: Mal_Wiki_oth_120_ne_col.txt, sentences: 74, tokens: 962
File name: Mal_Wiki_oth_117_ne_col.txt, sentences: 49, tokens: 634
File name: Mal_Wiki_oth_30_ne_col.txt, sentences: 112, tokens: 1501
File name: Mal_Wiki_oth_43_ne_col.txt, sentences: 21, tokens: 443
File name: Mal_Wiki_oth_21_ne_col.txt, sentences: 33, tokens: 409
File name: Mal_Wiki_oth_16_ne_col.txt, sentences: 59, tokens: 815
File name: Mal_Wiki_oth_2_ne_col.txt, sentences: 28, tokens: 315
File name: Mal_Wiki_oth_106_ne_col.txt, sentences: 27, tokens: 341
File name: Mal_Wiki_oth_46_ne_col.txt, sentences: 13, tokens: 300
File name: Mal_Wiki_oth_13_ne_col.txt, sentences: 27, tokens: 305
File name: Mal_Wiki_oth_24_ne_col.txt, sentences: 20, tokens: 198
File name: Mal_Wiki_oth_103_ne_col.txt, sentences: 20, tokens: 369
File name: Mal_Wiki_oth_38_ne_col.txt, sentences: 53, tokens: 863
File name: Mal_Wiki_oth_29_ne_col.txt, sentences: 41, tokens: 572
File name: Mal_Wiki_oth_112_ne_col.txt, sentences: 48, tokens: 579
File name: Mal_Wiki_oth_35_ne_col.txt, sentences: 60, tokens: 1003
File name: Mal_Wiki_oth_109_ne_col.txt, sentences: 68, tokens: 967
File name: Mal_Wiki_oth_32_ne_col.txt, sentences: 97, tokens: 1044
File name: Mal_Wiki_oth_115_ne_col.txt, sentences: 104, tokens: 1026
File name: Mal_Wiki_oth_122_ne_col.txt, sentences: 45, tokens: 720
File name: Mal_Wiki_oth_19_ne_col.txt, sentences: 9, tokens: 118
File name: Mal_Wiki_oth_104_ne_col.txt, sentences: 21, tokens: 298
File name: Mal_Wiki_oth_41_ne_col.txt, sentences: 43, tokens: 578
File name: Mal_Wiki_oth_14_ne_col.txt, sentences: 71, tokens: 913
File name: Mal_Wiki_oth_23_ne_col.txt, sentences: 60, tokens: 682
File name: Mal_Wiki_oth_118_ne_col.txt, sentences: 32, tokens: 458
File name: Mal_Wiki_oth_101_ne_col.txt, sentences: 15, tokens: 217
File name: Mal_Wiki_oth_44_ne_col.txt, sentences: 43, tokens: 395
File name: Mal_Wiki_oth_26_ne_col.txt, sentences: 39, tokens: 703
File name: Mal_Wiki_oth_11_ne_col.txt, sentences: 64, tokens: 842
File name: Mal_Wiki_oth_37_ne_col.txt, sentences: 44, tokens: 435
File name: Mal_Wiki_oth_49_ne_col.txt, sentences: 37, tokens: 389
File name: Mal_Wiki_oth_110_ne_col.txt, sentences: 20, tokens: 248
File name: Mal_Wiki_oth_47_ne_col.txt, sentences: 31, tokens: 405
File name: Mal_Wiki_oth_12_ne_col.txt, sentences: 58, tokens: 797
File name: Mal_Wiki_oth_25_ne_col.txt, sentences: 81, tokens: 1046
File name: Mal_Wiki_oth_39_ne_col.txt, sentences: 48, tokens: 654
File name: Mal_Wiki_oth_102_ne_col.txt, sentences: 8, tokens: 72
File name: Mal_Wiki_oth_113_ne_col.txt, sentences: 58, tokens: 559
File name: Mal_Wiki_oth_124_ne_col.txt, sentences: 44, tokens: 559
File name: Mal_Wiki_oth_28_ne_col.txt, sentences: 20, tokens: 233
File name: Mal_Wiki_oth_34_ne_col.txt, sentences: 69, tokens: 856
File name: Mal_Wiki_oth_121_ne_col.txt, sentences: 19, tokens: 269
File name: Mal_Wiki_oth_116_ne_col.txt, sentences: 42, tokens: 511
File name: Mal_Wiki_oth_31_ne_col.txt, sentences: 87, tokens: 882
File name: Mal_Wiki_oth_42_ne_col.txt, sentences: 63, tokens: 825
File name: Mal_Wiki_oth_20_ne_col.txt, sentences: 46, tokens: 541
File name: Mal_Wiki_oth_17_ne_col.txt, sentences: 43, tokens: 527
File name: Mal_Wiki_oth_3_ne_col.txt, sentences: 40, tokens: 483
File name: Mal_Wiki_oth_107_ne_col.txt, sentences: 37, tokens: 532
File name: Mal_Wiki_oth_100_ne_col.txt, sentences: 40, tokens: 424
File name: Mal_Wiki_oth_4_ne_col.txt, sentences: 58, tokens: 706
File name: Mal_Wiki_oth_45_ne_col.txt, sentences: 12, tokens: 172
File name: Mal_Wiki_oth_27_ne_col.txt, sentences: 22, tokens: 305
File name: Mal_Wiki_oth_10_ne_col.txt, sentences: 43, tokens: 458
File name: Mal_Wiki_oth_36_ne_col.txt, sentences: 19, tokens: 242
File name: Mal_Wiki_oth_111_ne_col.txt, sentences: 27, tokens: 362
File name: Mal_Wiki_oth_48_ne_col.txt, sentences: 27, tokens: 396
File name: Mal_Wiki_oth_33_ne_col.txt, sentences: 16, tokens: 202
File name: Mal_Wiki_oth_108_ne_col.txt, sentences: 34, tokens: 365
File name: Mal_Wiki_oth_18_ne_col.txt, sentences: 61, tokens: 693
File name: Mal_Wiki_oth_114_ne_col.txt, sentences: 116, tokens: 1251
File name: Mal_Wiki_oth_123_ne_col.txt, sentences: 30, tokens: 320
File name: Mal_Wiki_oth_1_ne_col.txt, sentences: 38, tokens: 492
File name: Mal_Wiki_oth_105_ne_col.txt, sentences: 13, tokens: 156
File name: Mal_Wiki_oth_119_ne_col.txt, sentences: 25, tokens: 356
File name: Mal_Wiki_oth_40_ne_col.txt, sentences: 43, tokens: 651
File name: Mal_Wiki_oth_15_ne_col.txt, sentences: 36, tokens: 447
File name: Mal_Wiki_oth_22_ne_col.txt, sentences: 66, tokens: 777
Aggregate number of sentences: 3017, tokens: 38168
