File name: TAM_Wiki_77_ne_col.txt, sentences: 53, tokens: 662
File name: TAM_Wiki_40_ne_col.txt, sentences: 110, tokens: 1588
File name: TAM_Wiki_15_ne_col.txt, sentences: 242, tokens: 3551
File name: TAM_Wiki_22_ne_col.txt, sentences: 160, tokens: 1828
File name: TAM_Wiki_33_ne_col.txt, sentences: 81, tokens: 1083
File name: TAM_Wiki_5_ne_col.txt, sentences: 86, tokens: 1069
File name: TAM_Wiki_51_ne_col.txt, sentences: 143, tokens: 1500
File name: TAM_Wiki_66_ne_col.txt, sentences: 104, tokens: 1748
File name: TAM_Wiki_18_ne_col.txt, sentences: 120, tokens: 2090
File name: TAM_Wiki_36_ne_col.txt, sentences: 48, tokens: 721
File name: TAM_Wiki_63_ne_col.txt, sentences: 74, tokens: 935
File name: TAM_Wiki_54_ne_col.txt, sentences: 64, tokens: 671
File name: TAM_Wiki_48_ne_col.txt, sentences: 97, tokens: 1203
File name: TAM_Wiki_59_ne_col.txt, sentences: 43, tokens: 677
File name: TAM_Wiki_45_ne_col.txt, sentences: 52, tokens: 636
File name: TAM_Wiki_72_ne_col.txt, sentences: 1, tokens: 1260
File name: TAM_Wiki_27_ne_col.txt, sentences: 102, tokens: 1358
File name: TAM_Wiki_10_ne_col.txt, sentences: 158, tokens: 2144
File name: TAM_Wiki_42_ne_col.txt, sentences: 142, tokens: 2003
File name: TAM_Wiki_75_ne_col.txt, sentences: 36, tokens: 728
File name: TAM_Wiki_20_ne_col.txt, sentences: 87, tokens: 1849
File name: TAM_Wiki_17_ne_col.txt, sentences: 51, tokens: 838
File name: TAM_Wiki_69_ne_col.txt, sentences: 67, tokens: 849
File name: TAM_Wiki_31_ne_col.txt, sentences: 65, tokens: 791
File name: TAM_Wiki_64_ne_col.txt, sentences: 39, tokens: 616
File name: TAM_Wiki_53_ne_col.txt, sentences: 77, tokens: 1314
File name: TAM_Wiki_28_ne_col.txt, sentences: 119, tokens: 1568
File name: TAM_Wiki_2_ne_col.txt, sentences: 388, tokens: 4802
File name: TAM_Wiki_34_ne_col.txt, sentences: 52, tokens: 702
File name: TAM_Wiki_56_ne_col.txt, sentences: 52, tokens: 819
File name: TAM_Wiki_61_ne_col.txt, sentences: 73, tokens: 834
File name: TAM_Wiki_70_ne_col.txt, sentences: 66, tokens: 818
File name: TAM_Wiki_47_ne_col.txt, sentences: 112, tokens: 1639
File name: TAM_Wiki_12_ne_col.txt, sentences: 24, tokens: 713
File name: TAM_Wiki_25_ne_col.txt, sentences: 60, tokens: 698
File name: TAM_Wiki_39_ne_col.txt, sentences: 42, tokens: 667
File name: TAM_Wiki_1_ne_col.txt, sentences: 70, tokens: 1053
File name: TAM_Wiki_37_ne_col.txt, sentences: 43, tokens: 750
File name: TAM_Wiki_62_ne_col.txt, sentences: 59, tokens: 692
